id	text	pronoun	pronoun_offset	a	a_offset	a_coref	b	b_offset	b_coref	url
test-104	Liza Maza (born 8 September 1957) is a Filipina activist who is the lead convenor of the National Anti-Poverty Commission. She was a member of the Philippine House of Representatives, representing the Gabriela Women's Party.	She	123	Filipina	39	False	Gabriela	201	False	http://en.wikipedia.org/wiki/Liza_Maza
test-105	Czarina Catherine Gatbonton was crowned Binibining Pilipinas World by Marie-Ann Umali, Binibining Pilipinas World 2009; and Krista Eileen Kleiner was crowned Binibining Pilipinas International by Melody Adelheid Gersbach, Binibining Pilipinas International 2009 Due to issues with her papers, Maria Venus Raj was briefly replaced by second runner-up Helen Nicolette Henson as the country's representative to the 2010 Miss Universe pageant. This decision was later reversed on April 10, 2010, when pageant organizers allowed Ms. Raj to reclaim her title pending her obtaining a valid Philippine passport.	her	281	Melody Adelheid Gersbach	196	False	Helen Nicolette Henson	350	False	http://en.wikipedia.org/wiki/Binibining_Pilipinas_2010
test-107	In the story, Gerber explained that ``a Krylorian Cyndi Lauper'' named Chirreep had made up the events in the Mantlo stories much like the events in The Rampaging Hulk magazine were considered made up by Bereet. Marvel's then-editor-in-chief Jim Shooter considered this an insult to Mantlo, and Gerber's story was never published. He identified Howard's parents as Dave and Dotty, names that differ from the Mantlo stories, in which his parents are named Ronald and Henrietta.	his	433	Dave	365	False	Dotty	374	False	http://en.wikipedia.org/wiki/Howard_the_Duck
test-120	In March 1932, two months shy of his 17th birthday, Orson Welles returned to Chicago from his post-graduation trip to Europe and his time with the Gate Theatre in Dublin. Finding that he had few prospects despite his success in Ireland, Welles persuaded Roger Hill, his former teacher and lifelong friend, to collaborate with him on a biographical play about abolitionist John Brown and his efforts to organize a slave revolt in 1859.	his	266	Roger Hill	254	False	John Brown	372	False	http://en.wikipedia.org/wiki/Marching_Song_(play)
test-127	Daryn Hinton was a child actress rooted in the Hollywood entertainment industry whose father Ed Hinton and grandfather Edgar Latimer Hinton were both actors. Her mother was entertainment socialite Marilynn Hinton who was president emeritus WAIF and president of ANTAN (American National Theater Authorities) alongside John Forsythe. In her autobiography, actress Jane Russell called Marilynn Hinton ``Dynamite...and a walking who's who'', who knew everyone important and could make anything happen.	her	336	Daryn Hinton	0	False	Marilynn Hinton	383	False	http://en.wikipedia.org/wiki/Daryn_Hinton
test-131	``Walk On'', the album's opener, has Young combining his cynical outlook with a touch of closure and a wish to move on and keep living. The album also includes the high-strung ``Revolution Blues,'' inspired by Charles Manson, whom Young had met in his Topanga Canyon days.	his	53	Charles Manson	210	False	Topanga Canyon	252	False	http://en.wikipedia.org/wiki/On_the_Beach_(Neil_Young_album)
test-135	On his last European start Lorenzaccio ran in his second Champion Stakes at Newmarket in October. The favourite was the outstanding three-year-old colt Nijinsky, who had become the first Triple Crown winner for thirty-five years and beaten older horses in the King George VI and Queen Elizabeth Stakes. Although he had been narrowly beaten by Sassafras in the Prix de l'Arc de Triomphe, Nijinsky, ridden by Piggott, was expected to redeem his reputation and started at odds of 4/11 while Lorenzaccio, ridden by Geoff Lewis was a 100/7 outsider.	his	439	Sassafras	343	False	Geoff Lewis	511	False	http://en.wikipedia.org/wiki/Lorenzaccio_(horse)
test-155	As Michelle King, explains: ``We came up with the idea about a year and a half ago. There had been this waterfall of these kinds of scandals, from Bill and Hillary (Clinton), to Dick Morris, to Eliot Spitzer, to name just a few. I think they are all over our culture. And there was always this image of the husband up there apologizing and the wife standing next to him. I think the show began when we asked, ``What are they thinking?`` And Robert and I started talking about it from there ... You know, what's interesting about a lot of these political scandals is that the women are lawyers, too. Hillary (Clinton) is a lawyer. Elizabeth Edwards is a lawyer. I think that got us thinking along those lines. That is, we knew she had to go back to work, and we had so many female lawyers to draw on.''	him	366	Dick Morris	178	False	Eliot Spitzer	194	False	http://en.wikipedia.org/wiki/The_Good_Wife
test-169	Unlike director Riccardo Freda's previous gothic styled film I vampiri, The Horrible Dr. Hichcock was made in a climate where there were more gothic horror films being produced in Italy. The film began when Luigi Carpentieri phoned screenwriter Ernesto Gastaldi to write a giallo story that he liked titled Spectral.	he	291	Riccardo Freda	16	False	Dr. Hichcock	85	False	http://en.wikipedia.org/wiki/The_Horrible_Dr._Hichcock
test-192	He discovers that his future brother-in-law, the vicious, homicidal Tony (Nicholas Brown), is about to marry a Mexican woman named Natasha (B*rbara Mori), whom Jai knows as Linda, the last of the immigrant women he married. On the night before ``Natasha'' and Tony's wedding, Linda and Jai spend a romantic but chaste night, humorously agreeing to a ``divorce''. A jealous, gun-wielding Tony arrives at her apartment while Jai is there.	his	18	Tony	68	False	Nicholas	74	False	http://en.wikipedia.org/wiki/Kites_(film)
test-195	To save his life, Harth deliberately drank the vampire's blood, thereby becoming a vampire himself. It is unprecedented for a Slayer to have a twin and, as an odd side-effect of this, Harth possesses the prophetic dreams and visions of past Slayers that Mel lacks. Erin Fray -- Mel's older sister. On opposing sides already because of her job as a cop and Melaka's thieving, Erin also blamed Mel for the death of their brother for a long time.	her	335	Melaka	356	False	Mel	392	False	http://en.wikipedia.org/wiki/Fray_(comics)
test-197	As a youth, he studied piano with Olga Stolfowa, and later composition with Bernardino Rizzi at the W*adys*aw *ele*ski School of Music. He continued formal music studies at the Warsaw Conservatory, where his teachers included Zbigniew Drzewiecki (piano) and Kazimierz Sikorski (composition). He was awarded the International Chopin Piano Competition's 8th prize in 1937.	he	12	Olga Stolfowa	34	False	Bernardino Rizzi	76	False	http://en.wikipedia.org/wiki/Jan_Ekier
test-199	Meanwhile, the media hounds the kids for stories, including claims that Michael Jackson molested them. Al is excited when Kelly hires Larry Storch as her acting coach and they star in a play together, but when Larry Storch gets into an accident, Al must step in to help his daughter. Peggy takes Marcy along with her to a bingo competition on the bad side of town.	her	313	Al	103	False	Marcy	296	False	http://en.wikipedia.org/wiki/Married..._with_Children_(season_9)
test-212	He is noted for his Grammy Award winning jazz orchestral recording titled The Black Dahlia. He is also a past head of A & R for Blue Note Records. Belden was born in Evanston, Illinois, and raised in South Carolina. In his formative years, Belden studied saxophone with Lou Marini Sr., father of famed jazz saxophonist, Lou Marini (Buddy Rich Big Band, Blood, Sweat and Tears, best known as ``Blue Lou'' of the Blues Brothers Band).	his	219	Lou Marini	320	False	Buddy Rich	332	False	http://en.wikipedia.org/wiki/Bob_Belden
test-239	Azerbaijani composer Uzeyir Hajibeyov has created an opera by this name, using the ashik stories and masterfully combined some ashik music with this major classical work. Ashiq Q*rib, Azeri epic, made famous by Mikhail Lermontov, is another major story of a wandering ashik who began his journeys with worldly love and attains wisdom by traveling and learning then achieving sainthood.	his	284	Uzeyir Hajibeyov	21	False	Mikhail Lermontov	211	False	http://en.wikipedia.org/wiki/Ashik
test-258	Signer officially announced his campaign for Lieutenant Governor on April 6, 2009 with a tour of 20 events across the state of Virginia. In the first quarter of 2009, Signer raised $250,000 from more than 800 donors. Signer has been critical of Lt. Gov. Bill Bolling for opposing a House of Delegates measure that would have used federal stimulus money to expand unemployment coverage by $125 million. He has received the endorsement of prominent rural strategist David ``Mudcat'' Saunders.	He	402	Lt. Gov. Bill Bolling	245	False	David ``Mudcat'' Saunders	464	False	http://en.wikipedia.org/wiki/Michael_Signer
test-281	Bodkin - Red - Br. Dominic Fursey Bodkin Lynch - Yellow - Br. John Barnabas Lynch Nolan - Blue - Br. Patrick Joseph Nolan O'Driscoll - Grey - Br. Francis Pius O'Driscoll Rice - Black - Blessed Edmund Ignatius Rice Treacy - Green - Br. Patrick Ambrose Treacy Brothers Fursey Bodkin, Barnabas Lynch, Joseph Nolan, and their leader, Patrick Ambrose Treacy were Christian Brothers who arrived from Ireland in Melbourne on 15 November 1868 to establish the religious institute in Australia. In 1875 Brother Treacy visited Bishop Patrick Moran, First Catholic Bishop of Dunedin, and promised him a community of Christian Brothers.	him	586	Joseph Nolan	298	False	Brother Treacy	494	False	http://en.wikipedia.org/wiki/St_Peter's_College,_Auckland
test-286	Hult Ganis moved permanently to Los Angeles in 1986 and set up the marketing department for Carolco Pictures, at that time an independent film production company. While with Carolco, Hult Ganis handled such films as Extreme Prejudice, Angel Heart, and the Tom Hanks/Sally Field vehicle, Punchline. After her move to Los Angeles, Hult Ganis became more politically active and joined the Hollywood Woman's Political Committee.	her	304	Angel Heart	235	False	Sally Field	266	False	http://en.wikipedia.org/wiki/Nancy_Hult_Ganis
test-287	She also starred in the sitcom From a Bird's Eye View. In 1988 Martin joined the London production of the Sondheim musical Follies starring with Eartha Kitt. Martin appeared as Gladys Moon in 13 episodes of Moon And Son, a 1992 BBC detective series created by Robert Banks Stewart, and co-starring John Michie. In 2005 she had a small part in the film, Mrs. Palfrey at the Claremont which starred Joan Plowright.	she	319	John Michie	298	False	Joan Plowright	397	False	http://en.wikipedia.org/wiki/Millicent_Martin
test-296	Set in the Meiji and Taish* eras, the kimono-clad yakuza hero of ninkyo films (personified by Koji Tsuruta and Ken Takakura) was always portrayed as a stoic honorable outlaw torn between the contradictory values of giri (duty) and ninjo (personal feelings). Sadao Yamane stated their willingness to fight and die to save someone or their boss was portrayed as ``something beautiful.'' In his book, Schilling cited Tadashi Sawashima's Jinsei Gekijo:	his	388	Tadashi Sawashima	414	False	Jinsei Gekijo	434	False	http://en.wikipedia.org/wiki/Yakuza_film
test-300	Therefore, he laid siege to this city and meanwhile captured Sipontum. Marcus Vipsanius Agrippa, a close friend of Octavian and able general, could retake Sipontum, but Rullus, who commanded 1500 horsemen, lost a cavalry battle near the town of Hyria, although Antony had only 400 riders at his side.	his	291	Marcus Vipsanius Agrippa	71	False	Octavian	115	False	http://en.wikipedia.org/wiki/Publius_Servilius_Rullus_(cavalry_leader)
test-301	Davis was able to secure a two-week engagement in September 1948 for the nonet opening for Count Basie at the Royal Roost in New York. For the band's book, Mulligan contributed six arrangements, Lewis three, Evans two, and composer John Carisi arranged his own composition, ``Israel'', for the band.	his	253	Mulligan	156	False	Evans	208	False	http://en.wikipedia.org/wiki/Birth_of_the_Cool
test-311	Galaxy reviewer Groff Conklin faulted the original edition, declaring that ``Too many s-f novels lack outstanding originality, but this one lacks it to an outstanding degree.'' F&SF reviewer Anthony Boucher found it to be ``intensely readable and unpredictably ingenious'' despite noticeable inconsistencies and its sometimes lack of scientific accuracy. Astounding Science-Fiction reviewer P. Schuyler Miller reported that, once Finney sets out his premise, the novel becomes ``a straight chase yarn, with several nice gimmicks and a not entirely convincing denouement.''	his	446	Groff Conklin	16	False	Anthony Boucher	191	False	http://en.wikipedia.org/wiki/The_Body_Snatchers
test-318	Balog's work has primarily evolved as a combination of art, science and environmental documentary. Today, he views his imagery as exploring the ``contact zone'' between man and nature. Among his many artistic influences, Balog counts Irving Penn, Richard Avedon, Carleton Watkins, William Henry Jackson, Edward Weston, Robert Adams, Lewis Baltz, Eliot Porter and Ansel Adams.	his	191	Irving Penn	234	False	Richard Avedon	247	False	http://en.wikipedia.org/wiki/James_Balog
test-319	Senators David Boren (D-OK) and Ernest Hollings (D-SC) voted in favor, with Senators John Chafee (R-RI), Bob Packwood (R-OR), Richard Shelby (D-AL), Arlen Specter (R-PA), Robert Stafford (R-VT), John Warner (R-VA) and Lowell P. Weicker, Jr. (R-CT) all voting no. Following Bork's defeat, Reagan announced his intention to nominate Douglas H. Ginsburg, a former Harvard Law professor whom Reagan had appointed to the District of Columbia Circuit the previous year.	his	305	Lowell P. Weicker, Jr.	218	False	Bork	273	False	http://en.wikipedia.org/wiki/Ronald_Reagan_Supreme_Court_candidates
test-331	She currently portrays the recurring role of Teddy Duncan's best friend, Ivy Wentz, on the Disney Channel Original Series Good Luck Charlie and was the main role of Becca on the ABC Family original series Huge before its cancellation. She made her film debut in Nicole Holofcener's independent comedy-drama Lovely & Amazing as Annie Marks, Brenda Blethyn's adopted daughter; for the role, Goodwin received an Independent Spirit Award for ``Best Debut Performance''. In 2003, she appeared in Tom McCarthy's independent comedy-drama The Station Agent.	She	235	Ivy Wentz	73	False	Nicole Holofcener	262	False	http://en.wikipedia.org/wiki/Raven_Goodwin
test-343	Upon her arrival, she was granted Drottningholm Palace as her summer residence, where the ``Young Court'', as it was called, amused themselves with picnics, masquerades and French language amateur theater. The crown prince's court was dominated by Carl Gustaf Tessin, who escorted Louisa Ulrika to Sweden and remained an influential favorite during her years as crown princess. Adolf Frederick never cared much for Tessin, but Louisa Ulrika had him appointed marshal at court and eventually royal governor of her son prince Gustav. Tessin was behind many amusements in the circle of the crown princess, and it was said that he was only too eager to please Louisa Ulrika in any way possible. There were unconfirmed rumors that Tessin was the lover of Louisa Ulrika during her tenure as crown princess. Her son Gustav III later addressed these rumors, that although Count Tessin had been in love with her, his feelings were one-sided and not answered by his mother, as a love affair with a noble contradicted the ``natural contempt'' which Louisa Ulrika herself as a royal felt for every subject, noble or not. Her circle at court included Henrika Juliana von Liewen, who immediately became her favorite among her ladies-in-waiting; the intellectual Cath*rine Charlotte De la Gardie, the scientist Eva Ekeblad, and the witty Anders Johan von H*pken.	her	899	Gustav	809	False	Count Tessin	864	False	http://en.wikipedia.org/wiki/Louisa_Ulrika_of_Prussia
test-351	Howl is a direct-to-video 2015 British indie horror monster movie, directed by Paul Hyett and starring Ed Speleers. Down-on-his-luck Alpha Trax train guard Joe Griffin (Ed Speleers) arrives at Waterloo Station in time to start his shift on one of the overnight passenger train, which is scheduled to depart London at midnight under a full moon.	his	124	Paul Hyett	79	False	Ed Speleers	103	False	http://en.wikipedia.org/wiki/Howl_(2015_film)
test-386	With Jones out of the prison, Loeb--still working for the FBI--abducts Olivia on behalf of Jones. Olivia is however able to escape, but begins suspecting that Loeb was the one who kidnapped her. While paying a visit to Loeb's home, looking for anything to support her suspicions, Olivia gets into a gunfight with Loeb's wife Samantha, killing her.	her	343	Olivia	280	False	Loeb	313	False	http://en.wikipedia.org/wiki/List_of_Fringe_characters
test-387	Astrid Farnsworth is an FBI Junior Agent who serves as Olivia's assistant. She is stationed in the lab with Walter, who can never remember her name (e.g. calling her ``Asterix'', ``Aspirin'', ``Asteroid'', ``Astro'', ``Ostrich'', ``Aphid'', ``Esther'', ``Ashram'', ``Alex'', ``Afro'', ``Astrif'', ``Agnes'', ``Asner'', etc.).	her	162	Olivia	55	False	Asterix	168	False	http://en.wikipedia.org/wiki/List_of_Fringe_characters
test-393	During a mudslide that destroys several homes, Joel is on hand to rescue Alf's wife Ailsa (Judy Nunn) and their son Duncan (Brendan McKensy), together with Shauna Bradley (Kylie Watson) and Jade Sutherland who are trapped inside. Joel's leg is crushed and he is hospitalised. Natalie returns and offers to care for him in Queensland but Joel rejects her offer and agrees to stay with Judith. Judith collects Joel from hospital and drives him to see Natalie, knowing it is her he wants to be with.	her	472	Ailsa	84	False	Judith	392	False	http://en.wikipedia.org/wiki/Joel_Nash
test-395	Katherine Bailess (born April 24, 1980 in Vicksburg, Mississippi) is an American actress best known for playing the role of Erica Marsh on the CW 's hit show One Tree Hill, and Life and Death Brigade member Stephanie on Gilmore Girls. She also starred in the 2003 film From Justin to Kelly, playing the role of Alexa.	She	235	Justin	274	False	Kelly	284	False	http://en.wikipedia.org/wiki/Katherine_Bailess
test-424	He signed a bonus contract with the Redlegs as a 19-year-old in 1955 and was placed on Cincinnati's Major League roster per the bonus rule of the time. He made his MLB debut as a defensive replacement for leftfielder Ray Jablonski in a 12--8 road loss to the Philadelphia Phillies on June 12. After pinch running in his second MLB game (for slow-footed catcher Smoky Burgess), Silvera finally had his first National League at bat as a pinch hitter for Roy McMillan in a 16--5 rout of the Phillies at Crosley Field June 26.	his	160	Ray Jablonski	217	False	Smoky Burgess	361	False	http://en.wikipedia.org/wiki/Al_Silvera
test-430	Sexy Susan Sins Again (German: Frau Wirtin hat auch einen Grafen, Italian: Susanna... ed i suoi dolci vizi alla corte del re) is a 1968 Austrian-Italian costume drama-adventure-sex comedy film directed by Franz Antel. It is the first film of the series Frau Wirtin, following the 1967 film The Sweet Sins of Sexy Susan. Susanne Delberg (Teri Tordai as Terry Torday) and her friend Ferdinand (Harald Leipnitz) are assigned by Count Andrea (B*la Ernyey) to deliver some documents to his brother Enrico (Jeffrey Hunter), in order to save their family assets from Leduc (Jacques Herlin), the counsellor of Elisa Bonaparte (Pascale Petit).	his	481	Ferdinand	381	False	Leduc	560	False	http://en.wikipedia.org/wiki/Sexy_Susan_Sins_Again
test-431	Hundreds of people applied from the US and beyond, and only twelve people were selected. The bootcamp is a three day, three night songwriting event where songwriters get one-on-one coaching and critiquing from Jeffrey Steele. In her career, Carlson has performed with Lindsey Buckingham, Howard Jones, Chicago, Kenny Loggins, Rick Springfield, Eddie Money, Julie Roberts, Joan Jett, Tal Bachman, Richard Marx, and Kimberly Locke amongst others.	her	229	Jeffrey Steele	210	False	Lindsey Buckingham	268	False	http://en.wikipedia.org/wiki/Katrina_Carlson
test-445	His diary is an important source for the details of his career, as is his will, of 29 July 1576. An exhibition at Trento, 1999 is memorialised in a catalogue by Andrea Bacchi, Lia Camerlengo and Manfred Leithe-Jasper, ``La Bellissima Maniera'': Alessandro Vittoria e la Scultura Veneta del Cinquecento (Trento 1999) which is the basic text for its introductory essays on Vittoria's art and career, by Manfred Leithe-Jasper; his patrons, by Thomas Martin; his connections with Venetian painting, by Stefano Tumidei; and Vittoria's role as a collector, by Victoria Avery.	his	424	Manfred Leithe-Jasper	401	False	Thomas Martin	440	False	http://en.wikipedia.org/wiki/Alessandro_Vittoria
test-450	After searching Ross' notes, they deduce that his source was Neal Daniels ( Colin Stinton), CIA Station Chief in Madrid, who was formerly involved in Treadstone and is actively involved in Blackbriar. Bourne, having taken Ross' bag after he was killed, follows the notes in his notebook to Daniels' Madrid office but finds it empty.	his	46	Neal Daniels	61	False	Bourne	201	False	http://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film)
test-452	Cordish is part of the Office of American Innovation, led by Senior White House Adviser Jared Kushner, with a directive to overhaul government functions using ideas from the business sector. Other members of the Office of American Innovation include National Economic Council Director Gary Cohn, Assistant to the President and Senior Counselor for Economic Initiatives Dina Powell, and Assistant to the President and Director of Strategic Initiatives Chris Liddell. In 2010, he married Margaret Katz in a Jewish ceremony at his home in Baltimore.	he	475	Jared Kushner	88	False	Gary Cohn	285	False	http://en.wikipedia.org/wiki/Reed_Cordish
test-460	The arrival of the statue is known to have coincided with Amenhotep III's marriage with Tadukhepa, Tushratta 's daughter, in the pharaoh's 36th year; letter EA 23's arrival in Egypt is dated to ``regnal year 36, the fourth month of winter, day 1'' of his reign. Furthermore, Tushratta never mentions in EA 23 that the statue's dispatch was meant to heal Amenhotep from his maladies.	his	369	Tadukhepa	88	False	Tushratta	99	False	http://en.wikipedia.org/wiki/Amenhotep_III
test-464	Author Joel Kovel wrote that The Primal Scream shows that Janov is one of several figures in the history of psychotherapy who have come to be seen as savior figures, noting that the book had received ``extravagant praise'' from the Chattanooga Times and the Berkeley Gazette, both of which compared Janov to Freud. He credited Janov with tapping a ``bedrock of great emotional power.''	He	315	Janov	299	False	Freud	308	False	http://en.wikipedia.org/wiki/The_Primal_Scream
test-470	In 1977, Hung was given his first lead role in a Golden Harvest production, in the film Shaolin Plot. His next film, released the same year, was also his directorial debut, The Iron-Fisted Monk, one of the earliest kung fu comedies. In 1978, Raymond Chow gave Hung the task of completing the fight co-ordination for the re-shoot of Game of Death, the film Bruce Lee was unable to complete before his death in 1973.	his	396	Raymond Chow	242	False	Hung	260	False	http://en.wikipedia.org/wiki/Sammo_Hung
test-477	Brent was born at Rotherhithe on 21 Aug. 1808, and was the eldest son of a father of the same name, a shipbuilder there, who about the year 1821 removed to Canterbury, and became thrice mayor of the city and deputy-lieutenant of the county. His mother was Susannah, third daughter of the Rev. Sampson Kingsford of Sturry, near Canterbury. In his early days Brent carried on the business of a miller, occupied for many years a seat on the council of the Canterbury corporation, and was elected an alderman, but resigned that position on being appointed city treasurer.	his	342	Susannah	256	False	Rev. Sampson Kingsford	288	False	http://en.wikipedia.org/wiki/John_Brent
test-482	Their deaths- triggered by Sinclair's fear-inducing henchman Scarecrone causing them to remember the mugging, driving them to flee Chill by running off their balcony- prompt Bruce to become Batman to investigate, Gordon having written their deaths off as an accident and Bruce unwilling to investigate himself because of the risk to his new wife, Julie Madison. In the Flashpoint event, an alternate timeline is created where among other massive changes, Thomas Wayne rather than Bruce appears as Batman. Details after the events of his son's death remains ambiguous, but Thomas is shown to have Joe Chill's gun in the Batcave's trophy display, suggesting Thomas got his revenge.	his	333	Julie Madison	347	False	Thomas	572	False	http://en.wikipedia.org/wiki/Thomas_Wayne
test-492	Meanwhile, Harry's son Michael (Gary Lucy) flies out to Istanbul to help with the search. Harry, deciding that Fazouk knows more than he is letting on, threatens him at gunpoint in front of a club full of paying customers. Michael manages to make Harry see sense, but throws his gun into the river before he can cause any further damage.	him	162	Harry	90	False	Michael	223	False	http://en.wikipedia.org/wiki/She's_Gone_(film)
test-493	As unrest starts to unfold across the country, Harry and Joanna meet with a Kurdish woman who claims that Olivia gave her passport and plane ticket to her daughter as an act of kindness, to allow her to come to Britain to be with her husband and young daughter. Harry and Joanna begin to realise that Olivia's disappearance may not be as sinister as they first thought. But when a call finally comes in with a lead on her whereabouts, are Harry and Joanna set to be re-united with their daughter, or has tragedy struck?	her	418	Harry	439	False	Joanna	449	False	http://en.wikipedia.org/wiki/She's_Gone_(film)
test-511	The former bears her child on 3 July, whereas neither of Elisabeth's children was born on that day. Indeed, Margot and Egmont von Ardenne were given birth on 5 November and 4 January respectively. Finally, Elisabeth von Ardenne's day of birth is 26 October, while Effi Briest is said to celebrate her birthday sometime in August.	her	17	Margot	108	False	Egmont	119	False	http://en.wikipedia.org/wiki/Effi_Briest
test-519	He was first elected to Parliament in the 1975 elections as MP for Otago, defeating the newly elected Ian Quigley of the Labour Party. In 1978, he was appointed to his first ministerial roles, most notably Minister of Tourism. When Brian Talboys retired from Parliament in 1981, Cooper was appointed to replace him as Minister of Foreign Affairs -- he held this position until the government of Robert Muldoon was defeated in 1984.	he	144	Otago	67	False	Ian Quigley	102	False	http://en.wikipedia.org/wiki/Warren_Cooper
test-521	He can be considered a kenshi, a swordsman who is not from the samurai class. He despises the government by extension to his hatred of samurai and quits the Itto-ryu when Anotsu allies the group with Kagimura and the shogunate, though he remains on friendly terms with Anotsu. When his lover of sorts, a prostitute named O-Ren, iss killed by Shira, Magatsu ends up following Manji around due to the fact that he knows Shira is after Manji.	he	409	Manji	375	False	Shira	418	False	http://en.wikipedia.org/wiki/List_of_Blade_of_the_Immortal_characters
test-522	Karen Strassman (English) played by Chiaki Kuriyama A female assassin and a lieutenant in the Mugai-ry*. Hyakurin was the wife of an abusive samurai, Hayakawa Kak*sai Genkei, who was obsessed with trying to gain fame by training Matsuhiko, their sickly son, to become a strong swordsman, and killed Matsuhiko's unnamed twin sister shortly after her birth because he saw no worth in raising a girl.	her	345	Hyakurin	105	False	Matsuhiko	299	False	http://en.wikipedia.org/wiki/List_of_Blade_of_the_Immortal_characters
test-523	Hazard is divorced and hasn't seen his son in years due to the bitter divorce. After Willow's father, who is a retired U.S. Army master sergeant and a former Korean War comrade in arms of Hazard's and Nelson's, dies of a heart attack, Hazard comes to look upon Willow as a ``son.'' He tries to teach Willow all he can about soldiering and surviving in combat.	He	282	Nelson	201	False	Willow	261	False	http://en.wikipedia.org/wiki/Gardens_of_Stone
